CPU型号,CPU频率,GPU型号,RAM容量,ROM容量,id,主屏分辨率,主屏尺寸,价格,前置摄像头,后置摄像头,型号,摄像头总数,核心数,电池容量,tags,cpu
海思 Kirin 960,2.4GHz（大四核），1.8GHz（小四核）+微智核i6,Mali-G71MP8,4GB>游戏运行一般,64GB>1.3万张照片5461首歌曲,0,2160x1080像素1080P高清（击败98.21%手机）,6英寸需双手打字更多6英寸手机＞,1599,2000万像素+200万像素高清级像素高像素自拍手机>,2000万像素+1600万像素高清级像素 样张秀>，高清像素手机>,华为nova 2s（4GB RAM/全网通）,四摄像头（后双）,八核>,3340mAh（30分钟充电36%）大电池大电池手机>,外放 音量 音乐 声场 声效 环绕 立体声 响铃 声音 听歌 音质 麦克风 通话 音效 扬声器 播放器 喇叭 音响 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 性能 速度 流畅 综合 性价比 体验 效率 价格,麒麟960
高通 骁龙660,2.2GHz>,高通 Adreno512,4GB>游戏运行一般,64GB/128GB1.3万张照片5461首歌曲,1,1920x1080像素>1080P高清（击败98.21%手机）,5.46英寸可单手打字更多5.46英寸手机＞,1998,2000万像素高清级像素高像素自拍手机>,2000万像素长焦镜头+1200万像素广角镜头高清级像素 样张秀>，高清像素手机>,魅族15（全网通）,三摄像头（后双）>,八核>,3000mAh（30分钟充电49%）小电池,做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电 外放 音量 音乐 声场 声效 环绕 立体声 响铃 声音 听歌 音质 麦克风 通话 音效 扬声器 播放器 喇叭 音响,骁龙660
海思 Kirin 980,2 x Cortex A76 2.6GHz+2 x Cortex A76 1.92GHz+4 x Cortex A55 1.8GHz,Mali-G76,8GB>游戏运行流畅,128GB/256GB2.6万张照片1.1万首歌曲,2,3120x1440像素2K超清（击败99.81%手机）,6.39英寸需双手打字更多6.39英寸手机＞,5499,2400万像素高清级像素高像素自拍手机>,4000万像素+2000万像素+800万像素高清级像素高清像素手机>,华为Mate 20 Pro（8GB RAM/全网通）,四摄像头（后三）>,八核>,4200mAh（30分钟充电75%）大电池,发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电 相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 性价比 体验 效率 价格 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接,麒麟980
高通 骁龙855,2.8GHz,高通 Adreno640,8GB>游戏运行流畅,256GB>5.2万张照片2.2万首歌曲,3,2340x1080像素>1080P高清（击败98.21%手机）,6.6英寸需双手打字更多6.6英寸手机＞,4799,1600万像素>高清级像素高像素自拍手机>,4800万像素+1300万像素+800万像素高清级像素 样张秀>，高清像素手机>,OPPO Reno（8GB RAM/10倍变焦版/全网通）,四摄像头（后三）>,八核>,4065mAh大电池,性能 速度 流畅 综合 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素,骁龙855
高通 骁龙855,2.84GHz,,6GB>游戏运行良好,64GB/128GB1.3万张照片5461首歌曲,4,2340x1080像素>1080P高清（击败98.21%手机）,6.39英寸需双手打字更多6.39英寸手机＞,2698,1600万像素+800万像素高清级像素高像素自拍手机>,2400万像素+1600万像素高清级像素高清像素手机>,联想Z5 Pro GT 855版（6GB RAM/全网通）,四摄像头（前双+后双）>,八核>,3350mAh（30分钟充电40%）大电池大电池手机>,﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电 性能 速度 流畅 综合,骁龙855
高通 骁龙845 AIE,,,6GB>游戏运行良好,128GB>2.6万张照片1.1万首歌曲,5,2340x1080像素>1080P高清（击败98.21%手机）,6.39英寸需双手打字更多6.39英寸手机＞,3299,2400万像素+200万像素高清级像素高像素自拍手机>,双1200万像素高清级像素 样张秀>，高清像素手机>,小米MIX 3（6GB RAM/全网通）,四摄像头（前双+后双）>,八核>,3200mAh（30分钟充电46%）小电池,做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电 相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 性价比 体验 效率 价格 性能 速度 流畅 综合,骁龙845
高通 骁龙439,1.95GHz,高通 Adreno505,3GB>游戏运行卡顿,32GB/64GB6553张照片2730首歌曲,6,1520x720像素720P普清（击败86.79%手机）,6.2英寸需双手打字更多6.2英寸手机＞,799,800万像素>普通级像素高像素自拍手机>,1300万像素+200万像素高清级像素高清像素手机>,vivo U1（3GB RAM/全网通）,三摄像头（后双）>,八核>,4030mAh大电池,发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电 相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素,骁龙439
高通 骁龙660,2.2GHz（大四核），1.8GHz（小四核）,,6GB>游戏运行良好,128GB>2.6万张照片1.1万首歌曲,7,2220x1080像素1080P高清（击败98.21%手机）,6.3英寸需双手打字更多6.3英寸手机＞,2999,2400万像素高清级像素高像素自拍手机>,2400万像素+800万像素+1000万像素+500万像素高清级像素 样张秀>，高清像素手机>,三星Galaxy A9s（6GB RAM/全网通）,五摄像头（后四）,八核>,3800mAh（30分钟充电暂无%）大电池大电池手机>,相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 外放 音量 音乐 声场 声效 环绕 立体声 响铃 声音 听歌 音质 麦克风 通话 音效 扬声器 播放器 喇叭 音响 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量,骁龙660
高通 骁龙660 AIE,2.2GHz>,高通 Adreno512,4GB>游戏运行一般,64GB>1.3万张照片5461首歌曲,8,2280x1080像素1080P高清（击败98.21%手机）,6.26英寸需双手打字更多6.26英寸手机＞,1159,2400万像素高清级像素高像素自拍手机>,1200万像素+500万像素高清级像素高清像素手机>,小米8青春版（4GB RAM/全网通）,三摄像头（后双）>,八核>,3350mAh大电池大电池手机>,性价比 体验 效率 价格 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 性能 速度 流畅 综合,骁龙660
苹果 A12，,,,4GB>游戏运行一般,64GB/256GB/512GB1.3万张照片5461首歌曲,9,2160x1080像素1080P高清（击败98.21%手机）,5.8英寸可单手打字更多5.8英寸手机＞,概念产品,1200万像素高清级像素高像素自拍手机>,双1900万像素高清级像素高清像素手机>,苹果iPhone 11（全网通）,三摄像头（后双）>,八核>,3600mAh大电池大电池手机>,性能 速度 流畅 综合 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素,a12
