sentence,label
都可以,whatever
没有要求,whatever
随便,whatever
没关系,whatever
没要求,whatever
都行,whatever
对品牌没要求,whatever
什么牌子的都行,whatever
我对这个没要求,whatever
无所谓,whatever
都OK,whatever
没有限制,whatever
都可以,whatever
没有要求,whatever
随便,whatever
没关系,whatever
没要求,whatever
都行,whatever
对品牌没要求,whatever
什么牌子的都行,whatever
我对这个没要求,whatever
无所谓,whatever
都OK,whatever
没有限制,whatever
都可以,whatever
没有要求,whatever
随便,whatever
没关系,whatever
没要求,whatever
都行,whatever
对品牌没要求,whatever
什么牌子的都行,whatever
我对这个没要求,whatever
无所谓,whatever
都OK,whatever
没有限制,whatever
都可以,whatever
没有要求,whatever
随便,whatever
没关系,whatever
没要求,whatever
都行,whatever
对品牌没要求,whatever
什么牌子的都行,whatever
我对这个没要求,whatever
无所谓,whatever
都OK,whatever
没有限制,whatever
都可以,whatever
没有要求,whatever
随便,whatever
没关系,whatever
没要求,whatever
都行,whatever
对品牌没要求,whatever
什么牌子的都行,whatever
我对这个没要求,whatever
无所谓,whatever
都OK,whatever
没有限制,whatever
都可以,whatever
没有要求,whatever
随便,whatever
没关系,whatever
没要求,whatever
都行,whatever
对品牌没要求,whatever
什么牌子的都行,whatever
我对这个没要求,whatever
无所谓,whatever
都OK,whatever
没有限制,whatever
都可以,whatever
没有要求,whatever
随便,whatever
没关系,whatever
没要求,whatever
都行,whatever
对品牌没要求,whatever
什么牌子的都行,whatever
我对这个没要求,whatever
无所谓,whatever
都OK,whatever
没有限制,whatever
都可以,whatever
没有要求,whatever
随便,whatever
没关系,whatever
没要求,whatever
都行,whatever
对品牌没要求,whatever
什么牌子的都行,whatever
我对这个没要求,whatever
无所谓,whatever
都OK,whatever
没有限制,whatever
都可以,whatever
没有要求,whatever
随便,whatever
没关系,whatever
没要求,whatever
都行,whatever
对品牌没要求,whatever
什么牌子的都行,whatever
我对这个没要求,whatever
无所谓,whatever
都OK,whatever
没有限制,whatever
都可以,whatever
没有要求,whatever
随便,whatever
没关系,whatever
没要求,whatever
都行,whatever
对品牌没要求,whatever
什么牌子的都行,whatever
我对这个没要求,whatever
无所谓,whatever
都OK,whatever
没有限制,whatever
都可以,whatever
没有要求,whatever
随便,whatever
没关系,whatever
没要求,whatever
都行,whatever
对品牌没要求,whatever
什么牌子的都行,whatever
我对这个没要求,whatever
无所谓,whatever
都OK,whatever
没有限制,whatever
都可以,whatever
没有要求,whatever
随便,whatever
没关系,whatever
没要求,whatever
都行,whatever
对品牌没要求,whatever
什么牌子的都行,whatever
