id,result
0,"[('手柄', '流畅'), ('功能', '简洁'), ('机身', '轻便'), ('握持', '高效'), ('防抖', '高清'), ('操作', '迅捷')]"
0,"[('设计', '强大')]"
0,"[('像素', '出众'), ('设计', '迅速'), ('机身', '轻便'), ('材质', '坚固'), ('机身', '便携'), ('使用', '迅速'), ('机身', '小巧'), ('操控性', '强')]"
0,"[('设计', '多'), ('携带', '轻便'), ('像素', '小巧'), ('防尘', '更佳')]"
0,"[('防抖', '给力'), ('机身', '不错'), ('做工', '棒'), ('操作', '给力')]"
0,"[('手感', '很好'), ('体积', '小巧'), ('机身', '不错'), ('续航', '不错'), ('使用', '出色')]"
0,"[('双卡', '不足'), ('重量', '一般'), ('操作', '方便'), ('体积', '大')]"
0,"[('操作性', '好用'), ('触感', '简单'), ('操作', '饱满'), ('手柄', '快捷'), ('效率', '习惯'), ('设计', '灵活')]"
0,"[('追焦', '出色'), ('成功率', '较高'), ('携带', '轻便'), ('像素', '广'), ('续航', '极佳'), ('功能', '强大'), ('机身', '小巧')]"
0,[]
0,"[('握持', '很好')]"
0,"[('能力', '强大'), ('手感', '不错'), ('操作', '方便'), ('设计', '贴心')]"
0,"[('机身', '小巧'), ('携带', '轻便'), ('设计', '贴心')]"
0,"[('设计', '便宜'), ('机身', '小巧'), ('携带', '不错')]"
0,"[('外观', '时尚'), ('携带', '方便')]"
0,"[('设计', '不错'), ('像素', '给力'), ('体积', '不错'), ('机身', '好用')]"
0,[]
0,"[('机身', '坚固耐用'), ('机身', '小巧'), ('操作', '很快'), ('操作', '容易')]"
0,"[('握感', '好')]"
0,"[('携带', '方便'), ('像素', '清晰')]"
1,"[('外观', '大气'), ('机身', '质感')]"
1,"[('功能', '轻巧'), ('握持', '高'), ('按键', '丰富'), ('设计', '合理'), ('操作', '方便快捷')]"
1,"[('续航', '短'), ('机身', '轻便')]"
1,"[('体积', '小'), ('携带', '方便')]"
1,"[('功能', '轻巧'), ('使用', '轻便')]"
1,"[('续航', '小'), ('操作', '实惠'), ('携带', '轻'), ('机身', '小'), ('操作', '便捷'), ('设计', '合理')]"
1,"[('操作', '简单'), ('设计', '容易'), ('功能', '不错'), ('机身', '小巧')]"
1,"[('像素', '流畅'), ('操作', '舒适'), ('手感', '舒适'), ('使用', '不高'), ('设计', '合理')]"
1,"[('能力', '强大'), ('能力', '强'), ('操作', '一流'), ('功能', '丰富')]"
